epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9051,2.06857,5.81219,1.73489,0.00167,1,0.57563,0.35599,1.37808,4.5941,1.17675,0.00018,0.00018,0.00018
2,152.807,1.10538,3.46464,0.98356,0.00167,1,0.91342,0.65862,1.02832,4.01511,0.90266,0.00034238,0.00034238,0.00034238
3,212.986,0.92636,2.84212,0.91149,0.00167,1,0.97833,0.66288,0.84733,3.66664,0.78161,0.00046516,0.00046516,0.00046516
4,252.23,0.97983,2.82844,0.91152,0.00167,1,0.945,0.68628,0.78777,3.71468,0.79721,0.00054834,0.00054834,0.00054834
5,287.044,0.90234,3.05981,0.90355,0.89505,0.85542,0.94192,0.72549,0.73156,3.5161,0.7899,0.00059192,0.00059192,0.00059192
6,321.808,0.92756,2.73998,0.90267,1,0.46435,0.95382,0.83841,0.67775,3.41669,0.77128,0.0005959,0.0005959,0.0005959
7,384.65,0.78223,2.39445,0.86248,1,0.67273,0.94045,0.81969,0.59007,3.26639,0.76538,0.00056028,0.00056028,0.00056028
8,426.612,0.72762,2.31923,0.8594,1,0.8466,0.93667,0.80873,0.68165,3.34558,0.79053,0.00048506,0.00048506,0.00048506
9,475.797,0.72399,2.4357,0.87345,1,0.85461,0.94763,0.83667,0.65946,3.11828,0.7694,0.00037024,0.00037024,0.00037024
10,512.491,0.69031,2.20829,0.83368,1,0.89818,0.97833,0.88027,0.59447,2.72291,0.76363,0.00021582,0.00021582,0.00021582
